,Dates,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
998,3/11/2012,-2.227977657,-2.153996752,-2.093069794,-2.541799308,-2.49197998,-2.598881266,-2.393668207,-2.445020918,-2.505643436,-2.405827757,-2.378163665,-2.524532885,-2.511457664,-2.651407617,-2.769974362,-2.121834259,-2.21082893,-2.221873834,-2.036575286,-2.050694089,-2.097424045
999,3/12/2012,-2.369452397,-2.227977657,-2.153996752,-2.784872235,-2.541799308,-2.49197998,-2.541890124,-2.393668207,-2.445020918,-2.51296072,-2.405827757,-2.378163665,-2.583375801,-2.511457664,-2.651407617,-2.222805858,-2.121834259,-2.21082893,-2.168426331,-2.036575286,-2.050694089
1000,3/13/2012,-2.241533976,-2.369452397,-2.227977657,-2.564065824,-2.784872235,-2.541799308,-2.322108525,-2.541890124,-2.393668207,-2.443700519,-2.51296072,-2.405827757,-2.450649238,-2.583375801,-2.511457664,-2.19171402,-2.222805858,-2.121834259,-2.120787699,-2.168426331,-2.036575286
1001,3/14/2012,-2.232680196,-2.241533976,-2.369452397,-2.534737946,-2.564065824,-2.784872235,-2.150597718,-2.322108525,-2.541890124,-2.406896672,-2.443700519,-2.51296072,-2.334589153,-2.450649238,-2.583375801,-1.664275945,-2.19171402,-2.222805858,-1.974028618,-2.120787699,-2.168426331
1002,3/15/2012,-2.147835317,-2.232680196,-2.241533976,-2.586898703,-2.534737946,-2.564065824,-2.307850117,-2.150597718,-2.322108525,-2.499743838,-2.406896672,-2.443700519,-2.455545302,-2.334589153,-2.450649238,-2.145886929,-1.664275945,-2.19171402,-1.97957403,-1.974028618,-2.120787699
1003,3/18/2012,-2.227330721,-2.147835317,-2.232680196,-2.801117701,-2.586898703,-2.534737946,-2.310576716,-2.307850117,-2.150597718,-2.380190225,-2.499743838,-2.406896672,-2.485916012,-2.455545302,-2.334589153,-2.215695125,-2.145886929,-1.664275945,-1.996112265,-1.97957403,-1.974028618
1004,3/19/2012,-2.417102764,-2.227330721,-2.147835317,-2.819979207,-2.801117701,-2.586898703,-2.468520163,-2.310576716,-2.307850117,-2.577958768,-2.380190225,-2.499743838,-2.791291439,-2.485916012,-2.455545302,-2.31555217,-2.215695125,-2.145886929,-2.213305464,-1.996112265,-1.97957403
1005,3/20/2012,-2.231154173,-2.417102764,-2.227330721,-2.438636209,-2.819979207,-2.801117701,-2.451716565,-2.468520163,-2.310576716,-2.537186634,-2.577958768,-2.380190225,-2.648315194,-2.791291439,-2.485916012,-2.194599636,-2.31555217,-2.215695125,-1.853327585,-2.213305464,-1.996112265
1006,3/21/2012,-2.34521266,-2.231154173,-2.417102764,-2.717572715,-2.438636209,-2.819979207,-2.392611558,-2.451716565,-2.468520163,-2.514837006,-2.537186634,-2.577958768,-2.550626938,-2.648315194,-2.791291439,-2.273727812,-2.194599636,-2.31555217,-2.240196622,-1.853327585,-2.213305464
1007,3/22/2012,-2.002920247,-2.34521266,-2.231154173,-2.515285687,-2.717572715,-2.438636209,-2.304818089,-2.392611558,-2.451716565,-2.442661681,-2.514837006,-2.537186634,-2.643458677,-2.550626938,-2.648315194,-2.05726094,-2.273727812,-2.194599636,-1.844892398,-2.240196622,-1.853327585
1008,3/25/2012,-2.22674358,-2.002920247,-2.34521266,-2.554271176,-2.515285687,-2.717572715,-2.301714807,-2.304818089,-2.392611558,-2.407181054,-2.442661681,-2.514837006,-2.526842848,-2.643458677,-2.550626938,-2.096077422,-2.05726094,-2.273727812,-2.105888124,-1.844892398,-2.240196622
1009,3/26/2012,-2.231933833,-2.22674358,-2.002920247,-2.600752544,-2.554271176,-2.515285687,-2.403393127,-2.301714807,-2.304818089,-2.353447622,-2.407181054,-2.442661681,-2.550181715,-2.526842848,-2.643458677,-2.126449355,-2.096077422,-2.05726094,-2.140496294,-2.105888124,-1.844892398
1010,3/27/2012,-2.347985127,-2.231933833,-2.22674358,-2.752956177,-2.600752544,-2.554271176,-2.565734593,-2.403393127,-2.301714807,-2.567572416,-2.353447622,-2.407181054,-2.731989098,-2.550181715,-2.526842848,-2.300840469,-2.126449355,-2.096077422,-2.315621348,-2.140496294,-2.105888124
1011,3/28/2012,-2.277187017,-2.347985127,-2.231933833,-2.603908857,-2.752956177,-2.600752544,-2.528069552,-2.565734593,-2.403393127,-2.460252387,-2.567572416,-2.353447622,-2.573550144,-2.731989098,-2.550181715,-2.224931636,-2.300840469,-2.126449355,-2.056536671,-2.315621348,-2.140496294
1012,3/29/2012,-2.183456083,-2.277187017,-2.347985127,-2.549854438,-2.603908857,-2.752956177,-2.532795333,-2.528069552,-2.565734593,-2.485186106,-2.460252387,-2.567572416,-2.668115032,-2.573550144,-2.731989098,-2.200745422,-2.224931636,-2.300840469,-2.145296191,-2.056536671,-2.315621348
1013,4/1/2012,-2.319794106,-2.183456083,-2.277187017,-2.673786242,-2.549854438,-2.603908857,-2.426042273,-2.532795333,-2.528069552,-2.391344468,-2.485186106,-2.460252387,-2.435786494,-2.668115032,-2.573550144,-2.211079787,-2.200745422,-2.224931636,-2.206722037,-2.145296191,-2.056536671
1014,4/2/2012,-2.305886523,-2.319794106,-2.183456083,-2.670758923,-2.673786242,-2.549854438,-2.569411655,-2.426042273,-2.532795333,-2.624920829,-2.391344468,-2.485186106,-2.653352584,-2.435786494,-2.668115032,-2.319685356,-2.211079787,-2.200745422,-2.314827195,-2.206722037,-2.145296191
1015,4/3/2012,-2.127460906,-2.305886523,-2.319794106,-2.711062855,-2.670758923,-2.673786242,-2.255755116,-2.569411655,-2.426042273,-2.309298818,-2.624920829,-2.391344468,-2.72298694,-2.653352584,-2.435786494,-2.11429511,-2.319685356,-2.211079787,-2.058814815,-2.314827195,-2.206722037
1016,4/4/2012,-2.190078716,-2.127460906,-2.305886523,-2.622476859,-2.711062855,-2.670758923,-2.368273115,-2.255755116,-2.569411655,-2.407151339,-2.309298818,-2.624920829,-2.621760219,-2.72298694,-2.653352584,-2.060600257,-2.11429511,-2.319685356,-2.105475549,-2.058814815,-2.314827195
1017,4/5/2012,-2.352019839,-2.190078716,-2.127460906,-2.378360025,-2.622476859,-2.711062855,-2.352197838,-2.368273115,-2.255755116,-2.64682968,-2.407151339,-2.309298818,-2.685303248,-2.621760219,-2.72298694,-2.243195927,-2.060600257,-2.11429511,-2.250860426,-2.105475549,-2.058814815
1018,4/8/2012,-2.477753889,-2.352019839,-2.190078716,-2.399593933,-2.378360025,-2.622476859,-2.559104843,-2.352197838,-2.368273115,-2.658773989,-2.64682968,-2.407151339,-2.968647515,-2.685303248,-2.621760219,-2.501922468,-2.243195927,-2.060600257,-2.258217079,-2.250860426,-2.105475549
1019,4/9/2012,-2.528673675,-2.477753889,-2.352019839,-2.605816084,-2.399593933,-2.378360025,-2.62174781,-2.559104843,-2.352197838,-2.562430262,-2.658773989,-2.64682968,-2.825585289,-2.968647515,-2.685303248,-2.223526543,-2.501922468,-2.243195927,-2.415627068,-2.258217079,-2.250860426
1020,4/10/2012,-2.232793859,-2.528673675,-2.477753889,-2.521722122,-2.605816084,-2.399593933,-2.349791953,-2.62174781,-2.559104843,-2.354492979,-2.562430262,-2.658773989,-2.643939592,-2.825585289,-2.968647515,-2.093083829,-2.223526543,-2.501922468,-2.099611711,-2.415627068,-2.258217079
1021,4/11/2012,-2.306351048,-2.232793859,-2.528673675,-2.677941617,-2.521722122,-2.605816084,-2.475784444,-2.349791953,-2.62174781,-2.466689246,-2.354492979,-2.562430262,-2.564841859,-2.643939592,-2.825585289,-2.166336051,-2.093083829,-2.223526543,-2.24047741,-2.099611711,-2.415627068
