,Dates,1,2,3,4,5,6,7,8,9
145,11/26/2008,-1.501153471,-1.760151683,-2.037451377,-1.970968704,-1.718512688,-0.563197099,-1.573894546,-1.451596159,-1.397633068
146,11/27/2008,-1.379724054,-1.552165734,-1.879302845,-1.816261226,-1.640382495,-0.216623509,-1.325964299,-1.494476715,-1.184426996
147,11/30/2008,-1.285062054,-1.456988471,-1.890450398,-1.720465134,-1.509073046,-0.198834086,-1.274655923,-1.228622234,-1.325050357
148,12/1/2008,-1.02976823,-1.623726489,-1.919016181,-1.700104092,-1.483555685,-0.403817825,-1.358514848,-1.075278049,-1.233990454
149,12/2/2008,-1.274429309,-1.525879809,-2.000324072,-1.917912166,-1.519613942,-1.012015442,-1.47730699,-1.247384758,-1.485710792
150,12/3/2008,-1.239611291,-1.424685676,-1.74140626,-1.743072965,-1.439184424,-0.388851708,-1.227998106,-1.304719993,-1.099305785
151,12/4/2008,-1.083560187,-1.464068171,-1.840588099,-1.76415971,-1.542103493,-1.110345367,-1.251116464,-1.027797931,-1.156441631
152,12/7/2008,-1.242068462,-1.573074036,-2.129166124,-1.839653947,-1.453602828,-1.553365169,-1.154201141,-1.109223304,-1.341994379
153,12/8/2008,-1.148417026,-1.621046769,-1.929944869,-1.783503786,-1.696520643,-0.712240727,-1.333241564,-1.202547003,-1.401676872
154,12/9/2008,-1.321041599,-1.562687026,-2.054115125,-1.864043193,-1.798916966,-0.281981691,-1.45438137,-1.192928402,-1.410756632
155,12/10/2008,-1.225025657,-1.474351539,-1.760189088,-1.771025893,-1.587676025,-0.674539069,-1.379258281,-1.163007481,-1.227386031
156,12/11/2008,-0.949383082,-1.498288962,-1.609688336,-1.564505076,-1.300055249,-0.17182961,-1.194278896,-1.116674947,-1.101861188
157,12/14/2008,-1.335511218,-1.581803115,-1.931447039,-1.802779739,-1.509153278,-0.455591253,-1.269596812,-1.181250769,-1.223503982
158,12/15/2008,-0.999761018,-1.454852126,-1.478379013,-1.471701861,-1.347142813,-0.624008658,-1.010642021,-1.009298448,-0.917067527
159,12/16/2008,-1.047073842,-1.464108313,-1.082341966,-1.205557453,-1.211743127,-0.46293807,-0.885823617,-1.04876507,-0.812556205
160,12/17/2008,-0.900256251,-1.288521639,-1.010972963,-0.983204983,-1.048980369,-0.1132646,-0.688634467,-0.90478949,-0.78855651
161,12/18/2008,-0.99117614,-1.00525791,-1.208533662,-1.262951226,-1.327844783,-0.449698075,-0.829283796,-1.00083132,-0.885699777
162,12/21/2008,-1.538865066,-1.331759506,-1.541720905,-1.535319361,-1.470939986,-0.583494924,-1.120482389,-1.340400422,-0.959043775
163,12/22/2008,-1.61501614,-1.706139273,-1.919821815,-2.046482621,-1.821230919,-0.584646077,-1.247820054,-1.439404528,-1.068646165
164,12/23/2008,-1.768608514,-1.590749562,-1.877432607,-2.213983085,-1.648876178,-1.033584189,-0.667152982,-1.5068663,-0.832628156
