,pap_lnSE
228,-10.090733493523436
229,-11.129494004207357
230,-12.620577229317165
231,-8.749365190678297
232,-10.313016201498897
233,-8.08325577625399
234,-12.566356700089935
235,-8.900970243605896
236,-9.363176111438158
237,-9.672006478850628
238,-11.484374351652312
239,-8.445507342710066
240,-7.923255367879985
241,-8.21900684796946
242,-7.778115519565932
243,-15.774159596188415
244,-8.926604193773459
245,-10.455512632233159
246,-11.867619514624591
247,-13.237723330421177
248,-9.739829425137549
249,-8.728094110833952
250,-9.92259915047962
251,-15.69003394083879
252,-9.276100599001916
253,-10.696456159603647
254,-16.447435397313658
255,-8.337304773596484
256,-9.089736419462689
257,-8.34998693925918
258,-7.218321091181217
259,-10.597148535481702
260,-10.430963714304434
261,-12.597724250200931
262,-9.917310875050234
263,-8.613020758079404
264,-6.7241401033386925
265,-8.47753332245698
266,-9.08773908063877
267,-9.214754151451165
268,-7.678630443581221
269,-9.654723738070539
270,-17.651408062728397
271,-8.879014904068043
272,-11.811446553038028
273,-8.383746744413346
274,-8.244972623654787
275,-7.8002205618439815
276,-9.86491445467943
277,-19.12367370511429
278,-14.242307037886565
279,-8.792338734705996
280,-15.484301652969803
281,-10.543391809421879
282,-10.267687801237633
283,-11.203189785915992
284,-10.173913755572235
285,-8.775675259361252
286,-8.49601778514381
287,-7.593917550369794
288,-10.13935742795501
289,-12.309835893250588
290,-8.68431335908669
291,-9.918672147171698
292,-10.211853443629208
293,-12.542079154653083
294,-11.422988613551643
295,-14.683941305756994
296,-13.982223969986903
297,-8.880559972407305
298,-7.8574674048327795
299,-5.989674798147141
300,-7.009086149293624
301,-12.434954735130589
302,-10.769391099564908
303,-8.101471125257428
304,-7.056156511772939
305,-6.349607942431348
306,-7.734571037749431
307,-9.623028115420295
308,-8.844673674518384
309,-18.233629867208844
310,-12.866795270902063
311,-12.449399181971954
312,-9.177495069681914
313,-10.804480384487329
314,-10.464536833397936
315,-10.658737325399425
316,-8.710059541685675
317,-9.033626079180499
318,-8.222661623909122
319,-7.639880753052849
320,-8.989771649034557
321,-8.738599617899949
322,-10.97662189602214
323,-10.376764131856982
324,-11.1477887761715
325,-11.49072477441091
326,-9.740196926310439
327,-7.144701056815002
328,-6.738055823478602
329,-7.978333544624487
330,-10.518196383832127
331,-10.07395201187703
332,-15.242217459179674
333,-11.302168879402045
334,-9.087712960855756
335,-10.554968854008653
336,-10.042732883951002
337,-10.054819903789053
338,-8.240596376921905
339,-8.781290071136773
340,-9.209366138188258
341,-10.704472483033086
342,-8.580615151195817
343,-9.743776462622703
344,-10.380493947982787
345,-10.217084572249998
346,-11.235718471604194
347,-9.084988609520316
348,-12.699817446667723
349,-10.650103788491199
350,-8.731107535942721
351,-9.768465464012893
352,-8.247518099922722
353,-6.963636101807714
354,-7.931397522089896
355,-9.725881621750798
356,-6.020025654508379
357,-5.898005544357711
358,-8.977838094511288
359,-9.259003069452284
360,-11.329054164171271
361,-11.817791409740279
362,-8.135082034844748
363,-8.448865210773748
364,-9.500170080607123
365,-14.754657659505671
366,-9.447270678181317
367,-7.931965117106789
368,-8.628955030521492
369,-9.69755974463612
370,-9.744271071740927
371,-7.088592181102513
372,-9.545616441526265
