,0,1,2,3,4,5,6,7,8
34,-2.477148911706476,-2.4903697481674256,-2.1916677915745555,-2.6110796146308815,-2.7068819838614426,-1.9578719776279214,-2.3079783476344318,-2.0854517106095267,-2.0682394057272084
35,-2.3029083665996573,-2.2308912910727035,-2.1099487694235504,-2.4402017287244147,-2.6987714776452716,-1.9078952536995848,-1.9649922306795151,-2.135980089167496,-1.9758631149028782
36,-2.2484325736287207,-2.3579363694167226,-2.1607632410237616,-2.429385152177644,-2.5609169135757943,-1.9276666348090812,-2.3752055535637644,-2.0037954977828987,-2.2138438097860105
37,-2.3322475093440493,-2.423455953133327,-2.085540806634232,-2.6540610824343345,-2.572516478164575,-1.8291592904096503,-2.3021987938407715,-1.8681981293397925,-2.1929558216892118
38,-2.15931300554908,-2.139701668761341,-2.1035741254824027,-2.5738354631662452,-2.639618404074323,-1.8620775287797873,-2.174254686899972,-1.95968777023161,-2.068128430974411
39,-2.15162009974618,-2.2788864426855433,-2.073703559957793,-2.4384567356997833,-2.5402110272223197,-1.6814622039813318,-2.2849802251277556,-1.973479401986975,-2.1031184829479885
40,-2.195711274296418,-2.1236187007062686,-2.1948532094801254,-2.4684607145939754,-2.56267848024869,-1.8264304419462327,-2.302715609794468,-2.184279896642779,-1.9657037810932056
41,-2.3166268081147767,-2.2107892672437472,-1.9055194097722135,-2.1186062889719675,-2.433753574563183,-1.7881621215019237,-2.1754956717540384,-1.982726036031264,-1.8872202047471363
42,-2.5361880161258306,-2.3309490071244268,-2.439118016381946,-2.6911900400905813,-2.7647640542472556,-2.0763667185465007,-2.267282417791217,-2.1263541002676183,-2.101650041040816
43,-2.209289155455189,-2.2691917360170475,-2.1739841478399033,-2.3915280887839603,-2.66900883832637,-1.8741396368237848,-2.1681585750231016,-2.033244068314683,-2.0574780224494784
44,-2.2346136826079577,-2.334760716345235,-2.1792186515736973,-2.447249002807369,-2.6124408572836857,-1.8352479566307507,-2.1762330906382474,-1.9944731033890801,-2.147645043081237
45,-2.1596783079447737,-2.393969660354679,-2.22839035831303,-2.567656637308591,-2.6758844353392646,-1.9206753939003989,-2.1438326174409212,-2.0450884606351223,-1.9953464938536407
46,-2.0674679591291207,-2.384762286136908,-2.175027294309265,-2.587039352405528,-2.6569908464334246,-1.840921504853796,-2.1652315653231597,-2.0453233292796273,-2.1737144388778127
47,-2.1413916324147,-2.0926363679175917,-1.9714378377184383,-2.3467253865850277,-2.5264337024472967,-1.8587954380949012,-2.112763474274892,-1.8953168360586903,-1.976857479131786
48,-2.3026614240285195,-2.341128583728934,-2.037247988747319,-2.3283477756574733,-2.4940773728076118,-1.8276407726730288,-2.11864727271685,-2.1168583656804416,-1.8343428479455748
49,-2.1164855407797694,-2.2155553487985324,-1.724375013352484,-2.2229105685319577,-2.3618523928609236,-1.6663960330197245,-1.951666289031282,-1.853721494758288,-1.8986355856589814
50,-2.1229896909760027,-2.3526565065387137,-1.8529338845219852,-2.3597611314956404,-2.48967563877575,-1.6741513485377453,-2.0906987915788537,-2.0467486437994533,-2.0355942386221515
51,-2.303587242990007,-2.348829748018731,-1.9842100934970328,-2.40832300756231,-2.4978993986996607,-1.6388290115808033,-2.0954801221036394,-1.9915345637291844,-2.0209309480353914
52,-2.3343860541008525,-2.3389483327930054,-2.2128906971103053,-2.588800237080007,-2.5802075510547304,-1.7612078710231762,-2.321871326593242,-2.0682306346352255,-2.209123295919481
53,-2.391064178658648,-2.4749085014220613,-2.3999678246692784,-2.7036149441942094,-2.8174947446975924,-1.958706918816585,-2.3084442509063363,-2.173563909885612,-2.0557648022205557
54,-2.3223667921157927,-2.1379190676665383,-2.1068199143811004,-2.3955716130818665,-2.6385017481699986,-1.8749580473693463,-2.2713912634854827,-2.1334614739608813,-2.1024290203517118
55,-2.0943181124737014,-2.3643843527190924,-2.148388781048771,-2.531663084886745,-2.6297842565930534,-1.841672215128442,-2.1322298870134615,-1.979975338938187,-2.1435089708905783
56,-2.0657548236729344,-2.3595853228679293,-2.3302788478969303,-2.4307947059036574,-2.469973972190498,-1.975154879769881,-2.2826378028513075,-1.5824007367767792,-2.165276342129879
57,-2.1389361693933493,-2.216749156489871,-2.2769335169718863,-2.4073094518663893,-2.494745994407573,-1.94275118620335,-2.2177125137841824,-1.916467205770447,-2.078999774544606
58,-2.386195946651737,-2.3910571690061353,-2.339352883546082,-2.7222292423689907,-2.752022985056953,-1.9432379121405488,-2.329449518625094,-2.186588393868387,-2.2191285391713618
59,-2.481733482611718,-2.4347258325373495,-2.2706335512908176,-2.5914277942935655,-2.6962882034275064,-1.999098999433478,-2.289016819288966,-1.9751294729620887,-2.005028207855485
60,-2.1516186468548932,-2.4594704241563066,-2.3066989902405526,-2.5698481020419632,-2.6775960420677314,-2.011596700743938,-2.3392850921292903,-1.89930308302529,-2.0697728780431026
61,-2.073490947259843,-2.4524849106033013,-2.1340573262737723,-2.4371970598452024,-2.4524104850454784,-2.046354649451741,-2.1857207497942306,-1.8673408706907153,-2.057863265506959
62,-2.1807233838215816,-2.26163258134987,-2.167288125694013,-2.4742752847231193,-2.6425307858717346,-1.9604129869266207,-2.300569266018168,-1.7802458819801563,-2.008215745356416
63,-2.3214233653657947,-2.278369434705279,-2.419934792858904,-2.6147206848248548,-2.669847410950762,-2.1129120436154953,-2.3321264607804615,-2.0979867832011077,-2.1338529214081285
64,-2.0521611974897023,-2.1639633339589968,-2.285313078981525,-2.6186560511852846,-2.6412606086513923,-1.8930350055732519,-2.2642491956325808,-1.974675398683265,-2.1603596785342467
65,-2.1925708699140736,-2.3887016254552336,-2.4376177169268938,-2.6164489407637643,-2.6921948933837294,-2.0272741975555477,-2.2931306115243384,-2.093510320705642,-2.1102914346896617
66,-1.9722730944193732,-2.4429984949255044,-2.122415961027367,-2.3482651519514484,-2.5241926541753084,-1.9285139188997233,-2.166620412149952,-1.9647500571127603,-1.9810791445781757
67,-1.6359074706513634,-1.895177506235248,-1.8439282334313063,-2.0275944741717895,-2.2320969428780684,-1.8584792764754845,-1.8191426215019548,-1.4793714255271275,-1.7814755389777657
68,-1.7453897778977232,-2.1449849200699425,-1.8510379928505003,-1.9826375105597138,-2.268533002710904,-1.829514601980869,-1.712355194675235,-1.6919815600787855,-1.6408870247665177
